data_power;IAO_time;sort_time;stable_time
0;0;0;0
1000000;0,326000;0,625000;0,719000
2000000;0,679000;1,419000;1,598000
3000000;1,080000;2,256000;2,393000
4000000;1,544000;3,234000;3,538000
5000000;2,026000;4,147000;4,422000
6000000;2,479000;5,228000;5,386000
7000000;2,957000;5,972000;6,327000
8000000;3,509000;7,042000;7,526000
9000000;3,950000;7,842000;8,393000
10000000;4,445000;9,031000;9,287000
11000000;4,959000;9,894000;10,249000
12000000;5,489000;11,292000;11,445000
13000000;6,030000;12,139000;12,454000
14000000;6,554000;13,186000;13,425000
15000000;7,106000;14,205000;15,778000
16000000;7,626000;15,165000;16,687000
17000000;8,165000;16,395000;17,643000
18000000;8,741000;17,633000;18,599000
19000000;9,302000;18,763000;19,818000
20000000;9,881000;19,522000;21,438000
21000000;10,543000;20,709000;21,952000
22000000;11,176000;21,990000;23,037000
23000000;11,760000;23,334000;24,282000
24000000;12,386000;24,513000;25,306000
25000000;12,994000;25,819000;26,282000
26000000;13,674000;26,334000;27,581000
27000000;14,404000;27,518000;28,624000
28000000;15,100000;29,409000;29,750000
29000000;15,822000;30,504000;30,857000
30000000;16,483000;31,410000;33,383000
31000000;17,134000;32,478000;34,167000
32000000;17,865000;33,503000;35,093000
33000000;18,625000;34,900000;36,042000
34000000;19,306000;36,669000;37,272000
35000000;19,938000;37,505000;38,278000
36000000;20,791000;38,087000;39,261000
37000000;21,481000;39,366000;40,547000
38000000;22,173000;41,031000;41,484000
39000000;22,989000;42,944000;42,471000
40000000;23,977000;42,937000;43,349000
41000000;24,588000;45,347000;44,727000
42000000;25,219000;45,731000;45,627000
43000000;26,352000;46,802000;46,716000
44000000;27,085000;48,904000;47,769000
45000000;27,757000;49,377000;50,068000
46000000;28,718000;51,454000;51,127000
47000000;29,489000;52,644000;52,073000
48000000;30,158000;53,308000;53,453000
49000000;31,171000;54,589000;54,467000
50000000;32,021000;55,439000;55,575000
51000000;32,731000;57,803000;56,712000
52000000;35,973000;57,904000;58,070000
53000000;34,808000;59,833000;59,178000
54000000;35,244000;60,693000;60,187000
55000000;36,507000;62,886000;61,254000
56000000;37,260000;63,541000;62,704000
57000000;38,140000;64,642000;63,878000
58000000;39,111000;66,604000;64,991000
59000000;39,741000;68,473000;72,013000
60000000;42,378000;69,588000;73,332000
61000000;41,909000;74,735000;76,273000
62000000;42,882000;76,651000;77,474000
63000000;43,956000;79,703000;78,981000
64000000;44,748000;80,062000;80,074000
65000000;45,961000;82,693000;81,370000
66000000;46,549000;83,487000;82,386000
67000000;47,743000;84,076000;83,867000
68000000;48,485000;85,812000;85,379000
69000000;49,661000;87,335000;85,928000
70000000;50,406000;89,510000;87,382000
71000000;51,584000;89,804000;88,291000
72000000;52,438000;92,335000;89,636000
73000000;53,744000;92,867000;90,607000
74000000;54,511000;95,386000;93,263000
75000000;55,939000;95,587000;93,963000
76000000;56,753000;96,738000;95,466000
77000000;58,057000;96,150000;95,752000
78000000;58,998000;98,889000;97,365000
79000000;60,642000;101,988000;98,887000
80000000;61,559000;101,693000;99,919000
81000000;62,369000;103,685000;103,034000
82000000;65,018000;104,601000;102,539000
83000000;66,404000;106,540000;104,280000
84000000;65,999000;109,616000;105,750000
85000000;66,800000;112,334000;107,593000
86000000;69,092000;114,926000;109,050000
87000000;69,516000;117,283000;110,394000
88000000;70,776000;118,417000;112,055000
89000000;72,184000;118,910000;114,455000
90000000;72,730000;122,172000;115,428000
91000000;74,089000;122,126000;116,399000
92000000;75,098000;124,067000;118,084000
93000000;76,113000;124,406000;118,890000
94000000;78,102000;125,390000;120,538000
95000000;78,940000;127,603000;121,459000
96000000;80,705000;130,876000;122,830000
97000000;81,878000;131,105000;123,757000
98000000;82,661000;131,997000;124,837000
99000000;83,955000;133,995000;126,005000
100000000;86,423000;134,829000;128,248000
101000000;86,371000;135,765000;128,930000
102000000;87,642000;140,782000;130,637000
103000000;90,008000;144,025000;133,473000
104000000;90,737000;143,564000;135,129000
105000000;91,844000;146,900000;136,138000
106000000;100,354000;147,359000;136,894000
107000000;94,453000;148,175000;138,563000
108000000;95,926000;148,754000;140,018000
109000000;97,065000;153,067000;141,276000
110000000;98,985000;152,370000;142,675000
111000000;101,179000;152,893000;143,901000
112000000;102,601000;156,205000;145,247000
113000000;113,161000;160,031000;146,987000
114000000;104,960000;158,893000;147,953000
115000000;122,237000;160,397000;149,413000
116000000;172,309000;160,995000;149,407000
117000000;108,146000;161,227000;150,027000
118000000;151,563000;165,308000;160,064000
119000000;111,489000;165,335000;162,053000
120000000;113,153000;170,231000;162,569000
121000000;148,374000;168,300000;164,085000
